Datetime,Close
01-03-2021 12:04,98
01-03-2021 12:04,325
01-03-2021 12:04,113
01-03-2021 12:04,609
01-03-2021 12:04,575
01-03-2021 12:04,485
01-03-2021 12:04,19
01-03-2021 12:04,399
01-03-2021 12:04,22
01-03-2021 12:04,58
01-03-2021 12:04,61
01-03-2021 12:04,620
01-03-2021 12:04,26
01-03-2021 12:04,478
01-03-2021 12:04,1272
01-03-2021 12:04,2000
01-03-2021 12:04,24
01-03-2021 12:04,143
01-03-2021 12:04,2375
01-03-2021 12:04,232
01-03-2021 12:04,1352
01-03-2021 12:04,590
01-03-2021 12:04,668
01-03-2021 12:04,680
01-03-2021 12:04,144
01-03-2021 12:04,970
01-03-2021 12:04,88
01-03-2021 12:04,533
01-03-2021 12:04,32
01-03-2021 12:04,10
01-03-2021 12:04,22
01-03-2021 12:04,39
01-03-2021 12:04,1070
01-03-2021 12:04,122
01-03-2021 12:04,1351
01-03-2021 12:04,277
01-03-2021 12:04,12
01-03-2021 12:04,35153
01-03-2021 12:04,391
01-03-2021 12:04,940
01-03-2021 12:04,584
01-03-2021 12:04,127
01-03-2021 12:04,663
01-03-2021 12:04,291
01-03-2021 12:04,16
01-03-2021 12:04,46
01-03-2021 12:04,20
01-03-2021 12:04,24
01-03-2021 12:04,17
01-03-2021 12:04,637
01-03-2021 12:04,12
01-03-2021 12:04,151
01-03-2021 12:04,72
01-03-2021 12:04,1400
01-03-2021 12:04,753
01-03-2021 12:04,694
01-03-2021 12:05,23
01-03-2021 12:05,801
01-03-2021 12:05,47
01-03-2021 12:05,97
01-03-2021 12:05,569
01-03-2021 12:05,23
01-03-2021 12:05,340
01-03-2021 12:05,393
01-03-2021 12:05,590
01-03-2021 12:05,1432
01-03-2021 12:05,20
01-03-2021 12:05,9
01-03-2021 12:05,1302
01-03-2021 12:05,434
01-03-2021 12:05,15
01-03-2021 12:05,10
01-03-2021 12:05,441
01-03-2021 12:05,515
01-03-2021 12:05,369
01-03-2021 12:05,468
01-03-2021 12:05,798
01-03-2021 12:05,17
01-03-2021 12:05,530
01-03-2021 12:05,255
01-03-2021 12:05,1023
01-03-2021 12:05,64
01-03-2021 12:05,689
01-03-2021 12:05,808
01-03-2021 12:05,220
01-03-2021 12:05,629
01-03-2021 12:05,811
01-03-2021 12:05,911
01-03-2021 12:05,334
01-03-2021 12:05,875
01-03-2021 12:05,899
01-03-2021 12:05,983
01-03-2021 12:05,1200
01-03-2021 12:05,327
01-03-2021 12:05,100
01-03-2021 12:05,1314
01-03-2021 12:05,356
01-03-2021 12:05,867
01-03-2021 12:05,1525
01-03-2021 12:05,11
01-03-2021 12:05,14
01-03-2021 12:05,1059
01-03-2021 12:05,167
01-03-2021 12:05,16
01-03-2021 12:05,34
01-03-2021 12:05,606
01-03-2021 12:05,16
01-03-2021 12:05,554
01-03-2021 12:05,32
01-03-2021 12:05,925
01-03-2021 12:05,1362
01-03-2021 12:05,14
01-03-2021 12:05,1419
01-03-2021 12:05,12
01-03-2021 12:05,10
01-03-2021 12:05,726
01-03-2021 12:05,25
01-03-2021 12:05,420
01-03-2021 12:05,594
01-03-2021 12:05,686
01-03-2021 12:05,576
01-03-2021 12:05,33
01-03-2021 12:05,76
01-03-2021 12:05,558
01-03-2021 12:05,135
01-03-2021 12:05,85
01-03-2021 12:05,1107
01-03-2021 12:05,40
01-03-2021 12:05,311
01-03-2021 12:05,20
01-03-2021 12:05,11
01-03-2021 12:05,1116
01-03-2021 12:05,730
01-03-2021 12:05,30
01-03-2021 12:05,123
01-03-2021 12:05,38
01-03-2021 12:05,36
01-03-2021 12:05,71
01-03-2021 12:05,1354
01-03-2021 12:05,446
01-03-2021 12:05,10
01-03-2021 12:05,180
01-03-2021 12:05,33
01-03-2021 12:05,300
01-03-2021 12:05,121
01-03-2021 12:05,1152
01-03-2021 12:05,7
01-03-2021 12:05,53
01-03-2021 12:05,1694
01-03-2021 12:05,9
01-03-2021 12:05,991
01-03-2021 12:05,689
01-03-2021 12:05,1038
01-03-2021 12:05,1074
01-03-2021 12:05,853
01-03-2021 12:05,88
01-03-2021 12:05,523
01-03-2021 12:05,1000
01-03-2021 12:05,378
01-03-2021 12:05,71
01-03-2021 12:05,477
01-03-2021 12:05,42
01-03-2021 12:05,24
01-03-2021 12:05,2164
01-03-2021 12:05,1062
01-03-2021 12:05,849
01-03-2021 12:05,184
01-03-2021 12:05,366
01-03-2021 12:05,1450
01-03-2021 12:05,1584
01-03-2021 12:05,57
01-03-2021 12:05,570
01-03-2021 12:05,787
01-03-2021 12:05,8
01-03-2021 12:05,386
01-03-2021 12:05,286
01-03-2021 12:05,8
01-03-2021 12:05,143
01-03-2021 12:05,15
01-03-2021 12:05,892
01-03-2021 12:05,480
01-03-2021 12:05,480
01-03-2021 12:05,35247
01-03-2021 12:05,799
01-03-2021 12:05,31
01-03-2021 12:05,1373
01-03-2021 12:05,28
01-03-2021 12:05,347
01-03-2021 12:05,2037
01-03-2021 12:05,1013
01-03-2021 12:05,202
01-03-2021 12:05,757
01-03-2021 12:05,824
01-03-2021 12:05,712
01-03-2021 12:05,67
01-03-2021 12:05,1220
01-03-2021 12:05,227
01-03-2021 12:05,2600
01-03-2021 12:05,620
01-03-2021 12:05,300
01-03-2021 12:05,195
01-03-2021 12:05,6
01-03-2021 12:05,948
01-03-2021 12:05,2081
01-03-2021 12:05,1065
01-03-2021 12:05,99
01-03-2021 12:05,916
01-03-2021 12:05,765
01-03-2021 12:05,305
01-03-2021 12:05,281
01-03-2021 12:05,938
01-03-2021 12:05,414
01-03-2021 12:05,3130
01-03-2021 12:05,435
01-03-2021 12:05,8
01-03-2021 12:05,457
01-03-2021 12:05,22
01-03-2021 12:05,186
01-03-2021 12:05,26
01-03-2021 12:05,9
01-03-2021 12:05,869
01-03-2021 12:05,221
01-03-2021 12:05,1118
01-03-2021 12:05,158
01-03-2021 12:05,1074
01-03-2021 12:05,97
01-03-2021 12:05,13
01-03-2021 12:05,1120
01-03-2021 12:05,845
01-03-2021 12:05,631
01-03-2021 12:05,306
01-03-2021 12:05,1872
01-03-2021 12:05,562
01-03-2021 12:05,1719
01-03-2021 12:05,115
